trade_date,trade_type,description,misc_fees,commissions,amount,balance,symbol,action,option_type,quantity
"8/4/25, 10:51:46 AM",TRD,BOT +1 SPY 100 17 OCT 25 645 CALL @9.68 CBOE,-0.01,-0.65,-968.00,31.34,SPY,BUY,CALL,1
"8/11/25, 10:50:04 AM",TRD,SOLD -1 SPY 100 17 OCT 25 645 CALL @11.75 CBOE,-0.01,-0.65,1175.00,1205.68,SPY,SOLD,CALL,1
"8/12/25, 9:35:31 AM",TRD,BOT +1 SPY 100 17 OCT 25 650 CALL @10.06 CBOE,-0.01,-0.65,-1006.00,199.02,SPY,BUY,CALL,1
"8/12/25, 12:52:11 PM",TRD,SOLD -1 SPY 100 17 OCT 25 650 CALL @11.07 CBOE,-0.01,-0.65,1107.00,1305.36,SPY,SOLD,CALL,1
"8/18/25, 10:23:55 AM",TRD,BOT +1 SPY 100 19 DEC 25 670 CALL @10.86 BOX,-0.01,-0.65,-1086.00,218.71,SPY,BUY,CALL,1
"8/18/25, 12:55:05 PM",TRD,SOLD -1 SPY 100 19 DEC 25 670 CALL @10.35 CBOE,-0.01,-0.65,1035.00,1253.05,SPY,SOLD,CALL,1
"8/21/25, 10:11:24 AM",TRD,BOT +3 SOFI 100 19 DEC 25 22 CALL @3.78,-0.03,-1.95,-1134.00,117.07,SOFI,BUY,CALL,3
"8/21/25, 11:02:53 AM",TRD,SOLD -3 SOFI 100 19 DEC 25 22 CALL @4.17 CBOE,-0.04,-1.95,1251.00,1366.08,SOFI,SOLD,CALL,3
"8/22/25, 10:11:01 AM",TRD,BOT +1 PLTR 100 19 DEC 25 180 CALL @12.50 CBOE,-0.01,-0.65,-1250.00,115.42,PLTR,BUY,CALL,1
"8/22/25, 11:40:47 AM",TRD,SOLD -1 PLTR 100 19 DEC 25 180 CALL @13.96 CBOE,-0.01,-0.65,1396.00,1510.76,PLTR,SOLD,CALL,1
"8/25/25, 10:15:52 AM",TRD,BOT +3 INTC 100 19 DEC 25 23 CALL @4.21 CBOE,-0.03,-1.95,-1263.00,245.78,INTC,BUY,CALL,3
"9/10/25, 10:27:57 AM",TRD,SOLD -3 INTC 100 19 DEC 25 23 CALL @3.25 CBOE,-0.04,-1.95,975.00,1218.79,INTC,SOLD,CALL,3
"9/16/25, 1:28:49 PM",TRD,BOT +1 RDDT 100 19 DEC 25 390 CALL @11.05,-0.01,-0.65,-1105.00,113.16,RDDT,BUY,CALL,1
"9/18/25, 10:21:58 AM",TRD,SOLD -1 RDDT 100 19 DEC 25 390 CALL @13.85 CBOE,-0.01,-0.65,1385.00,1497.50,RDDT,SOLD,CALL,1
"9/24/25, 10:55:36 AM",TRD,BOT +1 COIN 100 19 DEC 25 430 CALL @12.79 PHLX,-0.01,-0.65,-1279.00,217.84,COIN,BUY,CALL,1
"10/2/25, 9:52:30 AM",TRD,SOLD -1 COIN 100 19 DEC 25 430 CALL @24.50 CBOE,-0.01,-0.65,2450.00,2667.18,COIN,SOLD,CALL,1
"10/3/25, 11:10:38 AM",TRD,BOT +3 INTC 100 20 FEB 26 36 CALL @6.27 CBOE,-0.03,-1.95,-1881.00,784.20,INTC,BUY,CALL,3
"10/28/25, 10:43:44 AM",TRD,SOLD -2 INTC 100 20 FEB 26 36 CALL @8.24 MIAX,-0.03,-1.30,1648.00,2430.91,INTC,SOLD,CALL,2
"10/28/25, 10:46:39 AM",TRD,SOLD -1 INTC 100 20 FEB 26 36 CALL @8.25 MIAX,-0.01,-0.65,825.00,3255.25,INTC,SOLD,CALL,1
"10/31/25, 9:57:05 AM",TRD,BOT +2 HIMS 100 20 FEB 26 46 CALL @9.21 CBOE,-0.02,-1.30,-1842.00,1411.93,HIMS,BUY,CALL,2
"10/31/25, 10:00:26 AM",TRD,BOT +2 INTC 100 20 FEB 26 40 CALL @5.80 CBOE,-0.02,-1.30,-1160.00,250.61,INTC,BUY,CALL,2
"12/2/25, 10:28:17 AM",TRD,SOLD -2 INTC 100 20 FEB 26 40 CALL @5.95 CBOE,-0.03,-1.30,1190.00,1439.32,INTC,SOLD,CALL,2
"12/15/25, 10:42:59 AM",TRD,BOT +1 MDB 100 20 MAR 26 330 PUT @11.44 CBOE,-0.01,-0.65,-1144.00,294.66,MDB,BUY,CALL,1
"12/16/25, 2:34:02 PM",TRD,SOLD -1 MDB 100 20 MAR 26 330 PUT @10.84 CBOE,-0.01,-0.65,1084.00,1378.02,MDB,SOLD,CALL,1
"12/18/25, 3:26:55 PM",TRD,BOT +1 QQQ 100 15 MAY 26 660 CALL @12.62 BOX,-0.01,-0.65,-1262.00,115.36,QQQ,BUY,CALL,1
